Timestamp start: 1684856473470
Timestamp end: 1684858274998

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      368.2  1062.0    86.8   142.7   164.4   273.8   323.4   352.5   373.2   398.6   431.4   490.2  2740.8 11881.7 37054.7   7423.0     7434
read      348.5   516.5    80.4   129.6   144.9   278.3   349.6   394.3   428.4   469.0   524.6   643.1  1669.5  5682.3 19411.0  66940.0    67201
read      305.7   264.1    80.4   129.3   144.3   271.8   338.8   379.9   410.6   446.9   492.8   562.3   770.0  2286.4 10163.0  85979.1    85927
read      295.3   230.6    80.4   127.4   141.6   269.6   333.8   370.4   397.5   428.9   466.6   520.6   659.9  2475.2  6896.3  63987.0    63953
read      286.1   297.5    80.4   126.8   141.2   256.4   316.5   352.1   377.4   406.1   439.5   486.6   703.2  3035.5  9317.1  31433.4    31595
read      298.1   270.3    80.4   128.5   142.9   266.2   329.2   368.4   398.1   433.2   476.2   538.4   693.4  2787.4 11033.0  87676.7    87879
read      340.4   884.0    86.8   148.8   171.5   269.2   309.2   333.7   352.0   373.8   401.6   451.3  1481.9 10780.1 31894.6   7337.1     7287
read      315.6   343.9    80.4   131.4   146.5   274.4   339.3   377.2   404.6   438.1   481.4   548.3  1265.6  3732.2 10075.9  62236.1    62295
read      378.6  1329.0    93.8   145.6   167.3   259.0   297.5   319.5   336.0   355.2   380.7   428.8  3326.9 30344.4 37025.1   6524.0     6561
read      402.7   750.0    86.8   126.7   141.3   287.9   393.1   491.2   562.2   628.8   698.6   807.6  1238.0  9849.5 31082.0  22535.9    22532
read      320.5   438.6    80.4   127.9   142.1   270.6   335.1   373.5   402.5   437.4   482.5   557.3  1361.7  4054.3 16979.1  60523.0    60653
read      298.5   272.0    80.4   128.1   142.3   272.9   337.9   374.4   401.4   432.2   469.4   523.2   676.2  2080.1  9894.6  59035.4    59076
read      298.8   318.3    80.4   127.8   141.9   271.4   334.8   370.8   396.8   427.6   465.0   517.1   661.3  2978.5 13713.8  60070.1    60154
read      409.0   969.3    80.4   127.7   142.4   285.1   382.0   454.6   525.7   599.4   672.8   772.5  1650.5 13823.1 33825.2  22857.1    22964
read      341.3   850.5    93.8   140.1   160.3   268.3   319.5   348.0   367.9   390.8   420.3   468.9  1873.6  9558.5 35636.4   8184.1     8172
read      418.0   760.0    80.4   127.2   142.0   281.9   391.9   501.4   605.2   691.4   783.5   915.6  1322.3 10358.4 31615.5  27569.4    27652
read      323.1   456.7    80.4   128.0   142.6   267.1   329.4   368.8   399.1   434.7   481.6   598.7  1159.2  5810.0 20151.3  37467.0    37594
read      385.2   673.8    80.4   126.7   141.6   279.8   377.0   447.0   523.3   608.1   690.8   807.9  1179.6  9266.4 31061.6  24437.7    24367
read      342.7   631.3    80.4   127.2   141.6   262.8   331.1   375.3   410.3   452.4   522.3   819.0  1147.7  8024.0 31644.7  33808.7    33771
read      299.9   236.7    80.4   128.5   143.2   269.6   334.2   373.1   402.3   437.4   481.1   543.9   703.1  2671.4  8295.1  84884.0    84944
read      298.2   291.6    80.4   127.5   141.9   266.1   329.1   368.1   397.6   432.6   474.8   536.1   696.2  2742.9 12682.6  85643.6    85666
read      300.0   374.3    80.4   127.0   141.1   270.4   332.1   367.2   393.0   424.0   462.0   513.5   685.6  3819.4 13305.3  51899.9    51918
read      288.4   302.1    80.4   127.1   141.5   260.6   319.3   355.5   381.3   410.6   445.8   492.6   638.5  2541.2 12213.1  34602.1    34406
read      385.0   714.1    80.4   126.3   140.8   269.6   364.4   432.6   508.9   636.1   738.0   878.1  1135.9  9387.4 31718.9  28614.7    28664
read      317.1   395.8    80.4   129.0   144.2   275.8   338.6   375.9   404.2   439.2   483.3   556.7  1002.8  5281.7 12048.8  38169.6    38289
read      398.8   964.4    80.4   126.7   141.3   288.2   379.7   451.9   511.3   571.6   635.5   721.6  1337.2 13841.0 32843.5  20727.4    20658
read      384.2   913.9    86.8   128.1   144.0   291.9   369.3   419.0   452.0   488.3   533.2   601.6  1967.4 10846.0 33367.6  13862.1    13840
read      346.3   451.5    74.4   129.8   145.8   272.6   338.9   385.1   421.5   463.2   514.6   614.6  1790.3  5127.3 12782.5  93207.0    93419
read      300.6   296.4    80.4   128.7   143.9   266.6   328.1   367.7   399.2   436.9   484.7   549.8   690.2  3134.2  9428.4  98333.7    98284
read      302.1   330.4    80.4   128.9   143.3   271.8   337.8   375.9   403.3   435.6   474.1   530.8   679.9  2546.7 12955.2  71334.3    71313
read      291.1   235.0    80.4   127.2   141.5   266.5   324.5   359.9   386.0   416.8   454.1   504.4   676.1  2390.6  9145.4  41924.4    42089
read      292.0   236.1    80.4   127.2   141.5   269.6   327.9   362.4   387.7   417.4   454.0   504.1   653.8  2430.5  7235.5  46483.9    46458
read      293.4   295.9    80.4   130.0   144.7   265.8   327.6   363.5   388.9   417.8   452.8   502.2   684.5  2611.0  7369.6  30852.7    30755
read      296.6   200.4    80.4   128.9   144.1   273.9   333.3   367.8   393.7   424.9   463.3   517.2   701.2  2135.7  7530.2  42904.0    42889
read      302.8   305.9    80.4   128.8   143.6   267.7   331.3   370.1   400.4   437.5   484.1   549.9   727.0  3285.0 11992.8  93601.6    93552
read      301.6   225.0    80.4   128.9   143.4   274.7   339.9   378.0   405.7   438.9   479.0   536.6   703.5  2162.8  8995.0  65660.3    65694
read      291.0   316.8    80.4   128.6   143.1   260.0   321.0   356.9   382.1   410.1   443.6   490.5   704.9  3621.2  8754.1  29446.3    29574
read      297.5   197.3    80.4   128.2   142.6   275.2   336.8   372.0   398.5   429.3   466.3   520.4   686.5  2232.3  6978.4  51421.4    51355
read      304.0   289.2    80.4   128.9   143.6   273.9   339.2   377.3   405.2   438.0   477.9   535.0   691.9  3336.8 10321.6  67489.0    67361
read      358.7   718.3    86.8   128.7   143.1   289.1   361.6   410.0   453.2   501.5   555.3   632.8  1159.3  8570.1 31756.3  16249.7    16287
read      312.8   297.7    80.4   129.0   143.8   269.9   335.4   375.6   405.8   442.8   488.6   561.0  1301.6  2963.7  9069.3  81179.3    81508
read      301.5   312.9    80.4   129.0   143.7   267.4   331.6   371.2   401.4   437.1   481.4   544.4   715.2  3124.8 10822.1  87757.6    87619
read      298.1   269.1    80.4   128.9   143.9   264.5   326.9   366.5   397.5   435.3   482.0   546.2   690.9  2778.6  9473.3  99111.9    99068
read      295.0   272.1    80.4   126.8   141.0   271.0   330.4   365.1   390.7   420.8   457.8   507.2   643.4  2979.4 12741.1  51180.6    51267
read      376.6   990.0    86.8   131.0   147.8   285.0   349.9   392.3   421.8   455.8   497.9   564.6  1895.4 14384.9 34397.9  11828.4    11822
read      352.9   385.0    80.4   133.5   151.1   283.9   352.9   399.5   436.2   480.8   539.1   660.8  1686.4  3625.4 10351.1  97390.1    97494
read      310.9   314.1    80.4   130.5   146.1   272.9   337.3   378.5   411.0   450.7   499.5   571.7   746.8  3670.5 12771.2  97442.3    97350
read      300.1   228.6    80.4   128.2   142.4   275.2   337.7   373.4   400.1   431.7   469.4   524.5   692.5  2959.1  6475.1  55482.3    55460
read      300.6   290.9    74.4   128.1   142.7   268.8   332.4   371.7   401.6   437.1   480.8   542.7   692.0  2705.0 11044.7  85973.9    85984
read      302.8   312.8    80.4   129.0   143.8   270.3   334.7   373.5   402.7   437.8   480.5   541.1   697.5  2765.1 12628.4  81876.1    82043
read      302.5   327.2    74.4   130.2   144.9   276.2   337.9   373.3   399.6   430.6   468.0   522.7   677.3  2667.7 11369.2  52827.9    52873
read      359.4   717.6    86.8   131.2   147.0   293.1   359.0   404.1   441.4   481.8   528.3   592.8  1320.2  9048.7 31953.5  13911.6    13911
read      328.4   422.7    80.4   130.0   144.7   275.1   337.9   376.2   405.4   442.5   490.9   589.0  1316.8  5373.0 13430.8  50022.7    49984
read      353.6  1011.6    86.8   137.9   157.0   273.7   325.0   357.6   380.5   407.6   442.8   500.6  1820.6 13367.0 36906.6   9378.3     9274
read      405.1   596.2    80.4   126.0   140.7   278.6   387.3   496.6   606.9   693.7   779.7   915.7  1381.0  6770.8 27593.0  27124.7    27187
read      410.7   827.1    86.8   129.3   144.6   306.2   405.4   480.2   528.8   578.7   639.0   739.7  1770.8 12505.8 32502.1  18755.1    18735
read      370.4   474.9    80.4   130.7   146.9   279.0   347.2   395.0   431.4   475.2   537.3  1086.0  1816.2  4876.5 15359.9  86596.1    86505
