100.96.4.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      197.0   283.1    74.4   111.3   120.2   170.3   197.8   216.1   230.5   248.5   271.6   301.6   377.4  4511.8  9775.3  29886.8    30000  1684934907264  1684934917391
read      193.6   267.0    74.4   110.6   118.6   166.2   193.8   212.6   227.7   246.9   271.1   301.3   373.5  4587.2  9462.5  30132.3    30005  1684934918898  1684934929021
read      198.0   270.7    74.4   111.2   120.2   171.2   199.4   218.0   233.1   252.7   276.5   307.4   395.2  4189.2  9141.6  30004.6    30010  1684934930530  1684934940636
read      191.8   151.5    74.4   111.7   120.8   174.2   203.3   222.3   236.0   254.4   276.1   305.5   372.1  1478.5  6813.9  29952.8    30015  1684934942143  1684934952251
read      190.5   160.0    68.9   111.1   120.2   173.4   202.4   221.3   235.1   252.6   272.9   299.5   361.3  1469.4  7871.2  30000.0    30020  1684934953757  1684934963864
read      189.8   144.0    74.4   112.0   121.0   173.0   201.5   219.6   233.1   250.3   271.1   298.1   357.4  1397.9  7128.4  30036.6    30025  1684934965373  1684934975477
read      190.8   167.1    74.4   111.9   121.2   173.6   201.8   220.1   234.2   252.5   274.3   302.1   360.7  1309.0  8024.9  30031.0    30030  1684934976982  1684934987083
read      190.6   167.9    74.4   112.7   121.5   172.6   201.1   219.5   233.8   252.1   273.8   300.7   358.6  1654.2  8095.0  29951.7    30035  1684934988596  1684934998706
read      191.9   168.9    74.4   111.9   121.1   174.0   203.0   222.0   236.0   254.2   275.3   302.6   361.3  1587.2  7874.6  30021.8    30040  1684935000211  1684935010326
read      192.8   191.5    74.4   112.0   121.2   173.9   202.9   221.9   235.7   253.8   274.8   302.6   368.4  1827.8  8621.4  30074.2    30045  1684935011833  1684935021951
read      191.6   147.2    74.4   111.9   120.9   174.6   204.0   222.8   236.6   254.4   275.5   303.1   362.1  1618.7  7108.6  30064.1    30050  1684935023460  1684935033573
read      191.5   165.6    68.9   112.7   121.7   174.1   202.5   221.1   235.0   253.2   274.5   302.3   364.3  1266.8  7609.6  30053.1    30055  1684935035081  1684935045191
read      192.1   160.6    74.4   112.7   122.1   175.0   203.1   221.5   235.2   253.5   274.8   303.4   368.5  1396.4  7871.7  29986.1    30060  1684935046697  1684935056806
read      190.8   169.1    74.4   111.2   120.3   173.0   202.2   221.7   235.9   254.9   276.9   305.1   365.0  1020.0  8072.8  30079.8    30065  1684935058312  1684935068425
read      193.2   186.9    74.4   113.8   123.1   175.4   203.7   222.4   235.9   253.9   275.4   304.0   365.2  1527.5  8457.5  30111.1    30070  1684935069931  1684935080030
