Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      484.7  1116.4    93.8   162.8   197.1   370.4   451.8   501.1   539.4   584.4   648.6   764.9  3002.8 13825.1 39297.4   7412.0     7434
read      375.0   384.7    80.4   139.4   156.6   313.4   398.7   449.2   488.3   538.1   610.8   743.6  1562.9  3843.0 12311.9  66992.8    67201
read      355.2   372.4    80.4   139.8   157.5   306.6   386.1   432.9   468.2   512.7   575.2   680.2  1003.0  3832.8 12409.8  85924.7    85927
read      367.1   410.2    86.8   139.5   156.4   315.2   399.0   447.3   484.0   530.4   594.8   703.6  1127.3  4160.3 12855.3  64213.7    63953
read      369.5   318.0    86.8   138.9   155.8   330.7   412.4   460.0   495.6   539.3   597.4   690.8  1095.8  3406.3 11982.6  31655.4    31595
read      354.5   380.9    86.8   140.2   158.1   307.3   386.3   432.4   467.1   510.9   574.5   677.6   970.8  3933.6 15277.8  87997.0    87879
read      435.4  1117.1    93.8   161.5   193.3   331.5   394.8   433.5   461.8   495.9   543.5   635.4  2786.9 14385.7 36885.5   7243.5     7287
read      392.3   520.9    80.4   139.9   157.3   319.5   405.3   457.1   497.4   548.0   623.7   768.2  1864.7  5541.7 24707.4  62162.2    62295
read      418.5  1003.0    93.8   166.7   198.8   327.6   386.8   424.0   452.8   488.2   538.2   623.9  2133.2 10001.6 37398.0   6532.4     6561
read      504.2   814.2    86.8   138.3   157.7   365.2   521.4   652.7   736.1   816.1   904.5  1037.9  1902.0  9630.3 32352.5  22425.6    22532
read      375.2   466.2    80.4   139.0   155.9   315.9   399.0   447.2   484.1   531.9   599.1   722.5  1500.8  4346.3 16644.3  60563.0    60653
read      367.9   396.5    86.8   139.8   156.9   320.6   404.7   453.6   490.5   536.2   596.8   695.8  1062.7  4006.4 15155.6  59045.2    59076
read      354.1   315.4    80.4   138.6   155.1   311.9   392.9   439.1   474.1   518.2   577.4   673.2   999.4  3204.1 12314.4  60171.8    60154
read      475.7   845.5    86.8   139.6   158.4   355.6   473.4   560.8   641.3   739.5   842.9   982.5  1592.4 10487.3 32064.1  22885.9    22964
read      439.6   883.5    93.8   157.8   190.8   355.6   430.2   474.1   507.0   546.2   594.5   682.2  2266.8  8498.1 33299.7   8211.8     8172
read      507.7   883.4    80.4   137.9   156.5   347.9   508.4   662.1   764.7   857.5   954.9  1094.2  1735.2 11007.4 32451.2  27697.5    27652
read      387.7   387.4    86.8   139.4   156.7   331.2   417.3   467.8   507.9   559.6   631.4   773.0  1338.2  5229.4 11911.2  37486.5    37594
