

//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      420.8   252.4   160.7   206.6   227.1   398.5   468.4   511.2   546.4   587.1   634.1   696.9   803.3  2534.9 11073.9  29995.2    30000
read      420.5   254.0   160.7   207.1   226.4   389.1   466.7   513.2   550.2   595.5   653.1   728.3   854.8  1823.3 12122.1  34888.4    35000
read      434.1   258.4   148.8   206.1   227.9   414.4   487.9   530.9   564.9   607.1   658.5   730.4   867.6  1804.4 12161.6  39767.1    40000
read      436.8   271.1   148.8   204.1   223.7   407.4   487.7   535.0   573.1   620.6   679.9   766.0   931.0  2297.9 12205.2  45195.9    45000
read      430.0   285.9   160.7   203.1   221.7   399.0   478.9   526.7   563.8   611.1   671.4   755.5   920.6  2918.5 12267.1  50136.8    50000
read      418.9   290.9   148.8   199.6   217.1   389.6   467.9   513.7   548.9   593.4   652.2   733.6   880.8  2121.3 12127.3  54725.4    55000
read      428.8   303.3   148.8   201.8   219.6   396.2   483.0   529.9   566.4   612.2   670.7   757.9   937.5  2517.9 12404.9  60156.7    60000
read      398.2   255.6   148.8   196.0   211.8   366.4   444.8   489.8   524.8   569.5   628.5   710.8   855.5  1236.7 10703.6  64900.8    65000
read      417.1   245.8   148.8   203.3   220.4   382.4   466.1   514.3   550.1   594.5   654.3   746.4   924.2  1278.4 10256.5  69965.9    70000
read      400.7   239.9   148.8   199.3   216.4   366.3   445.7   491.0   525.7   569.5   627.2   715.0   868.9  1349.5  8741.8  75190.8    75000
read      403.5   259.5   148.8   203.2   220.2   365.1   441.6   488.0   524.3   571.2   634.7   729.0   896.6  1748.7  8339.6  79844.4    80000
read      423.4   270.5   148.8   211.8   232.9   389.1   466.7   511.7   546.8   590.8   648.3   736.8   922.7  1590.4 12319.9  84949.0    85000
read      393.2   219.6   148.8   207.4   225.6   364.5   436.1   476.3   506.6   543.7   591.3   666.3   810.2  1193.9  8624.3  90119.4    90000
read      542.6   354.7   160.7   234.9   276.0   488.6   565.6   636.9   725.8   825.0   912.3  1002.0  1132.1  2439.7 13908.3  94315.9    95000
read      690.6   348.2   148.8   417.7   456.4   583.6   706.1   893.3   970.2  1025.9  1071.9  1132.5  1237.3  2641.5 13363.2  93546.6   100000
read      727.4   384.4   173.5   460.9   489.2   603.5   714.3   969.9  1033.9  1075.3  1120.9  1172.9  1274.8  4292.6 15513.2  90150.2   105000
read      697.2   365.7   160.7   435.6   464.1   582.2   712.6   918.5   981.2  1032.8  1077.2  1137.9  1240.3  3057.8 15760.6  93840.6   110000


//-----------------------------------------2nd run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      428.5   290.8   148.8   207.3   229.0   408.4   477.1   521.0   552.9   590.6   634.2   689.5   803.1  3801.2 11960.8  29985.8    30000
read      434.6   239.9   160.7   210.1   232.1   413.6   486.5   530.5   564.7   607.1   659.0   728.2   859.3  1817.3  8453.3  35174.8    35000
read      435.7   276.4   160.7   205.9   226.7   409.9   485.7   531.0   566.3   611.0   666.6   741.0   894.7  3037.0 10230.8  40233.6    40000
read      433.7   252.9   148.8   206.3   226.7   409.6   487.9   532.8   568.0   611.4   666.2   740.3   894.3  1994.3 11999.4  44989.6    45000
read      431.2   250.4   148.8   206.3   225.0   406.0   486.1   531.4   565.8   608.5   665.4   746.9   904.4  1980.2  9322.1  49950.4    50000
read      410.6   267.9   148.8   196.8   213.3   377.2   456.6   503.2   540.4   587.5   650.8   735.6   888.9  1763.6 12319.1  54928.6    55000
read      411.1   250.4   148.8   198.1   214.6   378.0   458.6   505.6   544.7   592.6   655.0   741.7   899.0  1227.8 11960.8  59917.4    60000
read      398.9   238.6   148.8   196.1   211.9   365.4   446.0   491.4   526.7   571.0   627.8   708.9   855.9  1706.1  9968.9  64992.4    65000
read      415.8   242.6   148.8   203.6   222.0   388.5   472.4   516.3   546.6   584.7   633.9   710.1   870.2  1416.7  9878.2  69895.9    70000
read      411.2   256.4   148.8   202.4   220.8   381.1   461.0   504.7   537.7   578.4   632.3   716.0   888.0  1415.7 10024.6  75007.4    75000
read      415.3   274.5   148.8   205.6   224.0   380.6   461.8   507.3   540.9   583.4   639.8   731.5   914.2  1502.5 11884.4  80022.8    80000
read      418.7   260.4   148.8   210.9   230.6   385.2   462.9   506.8   541.1   584.1   639.7   730.0   920.1  1485.8 11232.2  84770.5    85000
read      460.2   265.6   148.8   223.9   251.2   423.3   501.6   551.1   593.0   645.5   712.7   816.6  1003.0  1927.0 11793.0  89875.0    90000
read      650.5   335.9   160.7   348.3   405.9   565.1   655.4   809.9   909.2   979.1  1039.3  1098.0  1210.4  2136.0 12559.3  94122.8    95000
read      634.7   350.3   148.8   295.9   357.6   559.4   637.5   766.4   888.7   977.6  1045.6  1112.9  1231.3  2346.4 12842.5  94765.9   100000
read      705.8   353.5   160.7   433.0   461.8   591.5   766.1   922.7   983.4  1036.2  1082.7  1146.5  1254.9  3114.4 12895.5  92637.0   105000
read      707.5   367.1   160.7   430.8   465.5   596.4   729.8   906.2   986.8  1046.6  1095.9  1158.8  1264.6  3788.5 13493.9  92573.6   110000


//-----------------------------------------3d run----------------------------------------//

type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      417.9   342.6   160.7   203.8   222.8   385.3   461.6   509.7   545.5   587.0   634.0   693.4   804.8  3984.5 12122.1  29955.6    30000
read      431.0   246.8   160.7   206.5   226.1   398.2   479.0   530.0   568.6   616.1   672.9   750.0   894.3  2808.8  8056.5  35211.8    35000
read      434.4   245.2   148.8   206.9   229.0   415.3   489.4   531.5   564.1   605.5   657.5   728.6   861.9  2071.3 10866.5  40016.2    40000
read      412.8   276.4   160.7   202.7   220.1   379.2   455.8   504.0   542.2   589.0   648.1   727.4   857.2  1973.8 13029.4  45120.6    45000
read      437.0   302.7   160.7   202.6   220.4   403.4   488.0   537.1   575.7   624.8   687.6   779.2   943.7  2899.6 12044.7  49851.8    50000
