


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      431.9   276.2   160.7   207.6   228.3   404.1   484.6   533.9   569.8   609.9   655.9   719.1   847.8  2683.2 12553.2  29853.4    30000
read      420.0   220.5   160.7   208.0   228.0   392.9   471.7   521.5   557.3   600.2   649.5   712.5   820.3  1161.8  7949.0  34939.5    35000
read      420.4   211.9   160.7   206.4   226.7   394.8   469.9   516.2   550.9   595.3   649.2   720.5   839.6  1329.3  7880.9  39997.0    40000
read      432.8   302.0   148.8   204.7   225.1   408.8   486.9   529.6   561.6   603.0   656.1   729.2   884.3  3602.2 12680.8  44844.2    45000
read      425.0   241.1   148.8   203.9   222.7   401.6   480.2   523.4   555.6   598.6   654.2   730.0   883.8  1354.6 10825.4  50230.0    50000
read      414.6   249.6   148.8   200.5   218.2   386.3   464.9   508.9   544.1   589.7   648.4   728.5   873.0  1358.5  8753.3  54909.8    55000
read      390.5   232.4   148.8   195.1   210.1   357.7   432.7   478.7   513.8   557.7   617.6   697.6   818.2  1316.2  9715.9  59900.0    60000
read      399.3   256.3   148.8   196.4   212.4   364.3   446.2   492.3   526.9   570.7   627.9   709.4   861.1  1706.1 11523.1  64953.2    65000
read      404.0   293.1   148.8   200.7   217.5   369.3   451.8   497.1   530.9   572.7   627.7   709.0   866.5  1828.3 12438.6  69972.4    70000
read      397.7   240.8   148.8   199.9   217.3   364.3   444.2   490.3   523.6   564.0   618.3   696.4   845.0  1185.4  9533.3  74953.0    75000
read      400.7   225.1   148.8   203.5   221.3   370.0   448.7   491.8   523.0   560.9   612.9   688.7   854.6  1317.2  9494.8  79958.8    80000
read      421.6   226.1   137.8   211.8   232.7   390.4   470.0   514.2   546.8   588.3   641.5   728.1   918.9  1452.1  9677.2  85097.2    85000
read      402.4   252.4   148.8   209.5   229.0   371.1   444.4   485.3   516.1   553.8   605.1   680.8   846.7  1649.6 11635.9  90025.6    90000
read      388.7   222.8   148.8   208.1   226.8   359.4   428.5   467.4   496.7   532.5   581.6   654.1   801.2  1328.9  8314.9  95140.8    95000
read      652.2   320.6   160.7   380.6   410.9   566.2   761.7   835.6   877.3   919.9   970.1  1039.9  1179.9  2377.4 12502.0  97358.8   100000
read      650.1   354.1   148.8   380.1   409.8   560.9   761.5   835.1   874.6   918.2   971.0  1047.9  1175.9  2033.4 13568.4  98526.2   105000
read      642.9   339.0   160.7   376.3   406.8   555.5   735.9   820.5   864.9   911.1   964.2  1040.6  1173.2  2680.2 12768.6 100769.8   110000



//-----------------------------------------2nd run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      421.0   268.6   160.7   205.5   225.2   392.4   472.3   521.7   556.5   596.0   641.5   700.3   805.0  3415.8  9555.2  29837.6    30000
read      416.4   246.0   160.7   205.2   224.4   384.4   464.7   514.1   550.7   594.4   644.7   711.7   818.4  2130.3 10025.4  34996.6    35000
read      427.0   289.6   160.7   203.9   223.4   396.8   475.9   523.4   560.6   607.0   662.5   735.2   865.7  2765.1 12168.3  40063.5    40000
read      425.9   268.8   160.7   204.4   223.9   396.6   475.4   521.7   557.0   602.0   658.9   735.2   866.1  2117.7 11878.9  44905.4    45000
read      411.5   329.7   148.8   199.5   216.4   376.0   451.7   498.9   535.6   583.1   645.1   724.5   856.8  3894.7 13144.3  49789.2    50000
read      409.6   273.2   148.8   199.5   216.3   377.8   455.6   501.3   537.6   584.0   645.2   729.8   869.3  1501.2 10478.3  55056.4    55000
read      414.1   309.5   148.8   197.5   214.4   383.2   465.2   509.1   542.7   585.0   640.4   723.2   903.0  2723.6 11056.0  60125.8    60000
read      408.9   264.3   148.8   197.9   214.8   377.5   463.2   508.1   541.0   582.1   635.0   713.9   871.3  1388.9  8121.6  64854.4    65000
read      394.8   239.8   148.8   198.5   214.0   359.7   437.7   482.6   516.2   558.1   616.1   703.5   871.3  1693.0  8786.8  70043.2    70000
read      395.5   217.1   148.8   199.4   216.1   362.0   442.9   487.9   520.9   561.1   615.7   696.9   856.9  1343.9  7986.3  75157.2    75000
read      394.7   239.6   148.8   200.2   217.0   360.8   439.3   483.8   516.8   556.1   610.6   690.9   851.7  1221.7 10583.4  79943.4    80000
read      386.9   237.2   148.8   203.2   220.0   354.0   425.2   466.3   498.2   537.3   590.1   673.4   832.9  1427.2  8089.7  84950.8    85000
read      404.9   292.2   148.8   210.1   229.9   375.1   449.6   489.1   517.8   553.2   602.4   676.6   858.8  1651.5 11300.7  89891.2    90000
read      382.9   224.1   148.8   204.5   221.7   353.3   418.8   457.8   487.4   524.8   577.6   658.9   805.1  1402.7  9293.1  94849.6    95000
