


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      436.3   550.5   160.7   201.2   216.6   385.5   480.4   529.3   561.8   597.2   637.2   691.9   903.5  7130.5 29661.3  30034.0    30000
read      452.8   660.4   160.7   202.2   217.9   387.6   474.6   525.4   560.7   601.2   647.0   713.6  1447.0  8441.5 31328.7  34871.4    35000
read      439.1   619.5   148.8   200.8   216.5   385.5   466.3   514.7   550.4   594.4   645.2   716.4   937.4  6386.1 30567.4  39991.8    40000
read      424.8   479.6   148.8   200.4   215.7   371.5   454.8   505.6   544.7   594.5   657.5   737.4   937.8  5742.5 20320.3  44924.8    45000
read      423.2   442.5   148.8   199.9   215.6   375.8   459.2   505.1   540.3   586.4   648.1   731.7   910.7  5862.1 15803.6  50194.4    50000
read      417.8   377.0   148.8   199.3   215.1   377.7   460.5   505.2   539.6   582.7   638.8   722.7   900.2  4299.7 12807.6  54975.0    55000
read      415.4   291.6   148.8   199.0   215.1   383.2   465.0   508.2   540.6   581.8   634.8   718.2   918.3  3603.6 11077.3  59954.2    60000
read      425.9   451.0   148.8   199.1   215.4   375.4   458.5   503.9   538.4   581.7   639.1   731.0   987.2  5852.2 15758.5  65094.6    65000
read      433.3   430.2   148.8   202.5   219.3   379.8   466.7   517.6   556.7   606.7   671.4   770.0   991.7  6068.7 12679.4  69882.4    70000
read      437.4   485.7   148.8   201.6   219.5   385.6   467.8   512.3   545.8   590.6   652.0   759.9  1059.9  6266.0 24087.0  74677.0    75000
read      406.0   311.5   148.8   200.3   217.0   365.2   445.2   489.7   522.4   562.3   618.3   704.3   915.0  3975.4  9873.3  79999.8    80000
read      390.6   308.2   148.8   197.5   213.4   350.3   422.4   466.0   499.2   540.3   593.7   680.4   856.0  3960.4 10200.6  84757.4    85000
read      590.8   430.6   148.8   246.0   295.8   533.2   619.8   683.1   752.4   861.0   987.9  1111.0  1272.4  5136.1 13424.9  90116.1    90000
read      579.8   378.9   160.7   270.0   317.6   513.7   610.4   694.9   772.3   849.7   929.4  1026.9  1187.5  4512.1 12855.8  94257.5    95000
read      500.8   352.3   160.7   243.0   278.9   446.6   534.6   599.8   649.5   706.9   774.8   865.9  1028.4  4619.5 12360.3 100128.6   100000
read      649.8   508.6   148.8   371.9   399.0   541.1   753.9   821.8   858.8   897.6   937.5  1002.9  1173.7  7027.9 19490.8  99267.0   105000
read      685.1   413.1   160.7   405.0   435.0   573.3   774.1   881.2   929.2   977.3  1028.1  1096.3  1250.0  5367.8 15246.6  95372.2   110000


//-----------------------------------------2nd run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      439.7   533.2   148.8   200.2   216.0   389.6   478.4   527.3   562.1   602.7   648.7   715.7   924.6  5909.7 30275.9  29862.8    30000
read      439.5   569.4   148.8   200.1   215.6   384.8   473.2   524.2   560.6   602.9   650.7   718.3   962.3  6736.4 29961.6  34963.0    35000
read      433.9   610.7   148.8   197.5   212.6   372.6   456.7   507.0   544.2   590.1   644.5   717.0  1044.2  6608.9 31603.1  39940.4    40000
read      423.0   377.9   148.8   203.0   218.5   375.0   460.8   511.8   549.0   600.7   665.8   749.0   898.6  4681.4 12444.8  44862.4    45000
read      444.8   598.8   148.8   200.2   217.4   395.4   475.2   519.5   552.9   597.1   654.9   735.7   985.9  8234.5 30974.2  50169.8    50000
read      422.0   471.3   148.8   197.6   213.0   373.0   452.8   499.2   534.8   580.7   642.9   732.6   926.7  5916.9 14829.4  55266.3    55000
read      404.8   372.4   148.8   197.5   212.4   358.9   438.4   484.4   520.0   566.2   629.5   716.4   867.1  5116.1 12602.2  59934.0    60000
read      417.6   324.1   148.8   199.4   215.5   375.3   462.0   507.8   541.7   584.6   639.6   726.3   949.3  4056.6 10120.8  64785.4    65000
read      427.8   341.4   148.8   201.3   218.8   389.2   476.6   523.6   556.5   597.9   652.4   739.2   991.4  4031.3 12069.3  69926.4    70000
read      414.8   341.0   148.8   200.7   218.3   376.4   460.2   504.5   537.0   576.7   629.3   713.6   931.4  4158.2 12558.4  74964.8    75000
read      434.6   475.9   148.8   202.8   221.2   380.5   461.9   508.9   545.3   590.7   650.8   750.8  1021.2  6151.6 15287.7  79934.5    80000
read      428.0   470.4   148.8   204.6   223.4   379.4   457.2   501.1   535.3   579.3   637.5   733.5   971.2  6180.2 21682.0  85106.2    85000
