


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      459.2   711.6   160.7   201.8   217.2   401.9   494.9   546.5   586.6   630.8   681.5   751.6  1017.0  7723.7 32124.3  29983.6    30000
read      448.0   495.6   148.8   204.9   221.1   398.3   492.7   544.1   583.9   630.1   685.2   764.4   998.1  5685.7 20200.3  35167.6    35000
read      434.7   534.9   148.8   198.4   213.6   377.3   466.8   518.3   557.2   608.0   665.8   740.9   940.8  6150.5 30096.6  40066.0    40000
read      448.4   463.4   148.8   198.6   215.4   407.0   489.8   535.1   570.7   616.1   673.4   753.1  1026.2  5568.7 19303.9  44990.1    45000
read      438.0   452.6   148.8   198.5   215.5   394.9   478.7   524.5   558.6   605.5   667.3   751.7   968.9  5044.5 15607.8  49893.9    50000
read      433.7   443.2   148.8   198.1   214.5   389.4   474.8   519.6   552.3   596.1   657.1   746.4   973.4  5869.7 15521.1  54972.8    55000
read      412.2   309.3   148.8   197.8   213.2   372.1   455.2   501.9   537.5   582.9   642.8   733.4   911.9  4065.8 11077.7  59940.0    60000
read      431.9   389.1   148.8   200.9   218.3   394.0   483.0   528.5   560.8   600.3   654.3   738.9   957.1  4588.0 13125.2  65189.5    65000
read      433.1   443.8   148.8   200.2   217.5   383.5   471.4   520.6   554.5   597.6   657.0   753.0  1004.8  5646.7 16003.0  69774.0    70000
read      508.8   477.1   160.7   213.5   236.6   442.1   547.9   606.5   648.8   703.4   788.6   994.9  1381.0  6065.1 16024.4  74934.6    75000
read      436.4   467.4   148.8   201.4   220.3   383.0   467.0   515.6   551.9   599.6   664.2   766.0  1000.5  6150.5 15949.3  79989.2    80000
read      456.7   454.0   148.8   209.0   230.9   406.0   489.8   537.4   574.3   621.5   688.4   814.0  1096.1  6118.9 15594.0  84977.8    85000
read      421.7   419.9   148.8   202.6   221.2   374.0   449.2   494.3   530.2   576.1   636.8   735.0   952.7  5666.5 13629.0  89717.5    90000
read      402.4   358.3   148.8   203.6   220.2   357.3   423.8   466.4   500.9   544.5   607.4   701.1   890.4  5166.8 10460.0  94971.2    95000
read      535.4   316.9   148.8   273.6   311.3   483.5   596.9   661.6   703.7   749.3   804.5   881.8  1028.7  3971.4 12127.4  99907.7   100000
read      652.2   418.2   148.8   384.3   412.2   538.3   771.5   845.7   883.9   919.5   960.5  1012.6  1160.1  5778.0 14510.7  98954.0   105000
read      616.0   446.8   160.7   337.1   367.6   549.8   682.0   745.3   786.9   835.8   904.2  1008.9  1176.2  5244.0 17072.6 103369.4   110000



//-----------------------------------------2nd run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      452.8   595.4   148.8   201.7   217.5   399.1   487.7   537.1   576.3   621.0   671.4   740.9   944.0  6242.8 30978.8  29810.6    30000
read      445.8   460.9   148.8   200.2   217.2   409.2   488.2   535.3   572.3   616.0   666.1   734.5   966.4  5463.8 18732.5  34789.4    35000
read      453.2   491.4   148.8   201.9   218.5   405.9   489.1   536.8   575.6   623.1   680.0   762.3  1086.4  6309.9 20808.9  39708.2    40000
read      431.1   411.3   148.8   202.6   218.8   383.3   470.7   522.5   561.6   610.1   669.2   745.7   918.3  4938.5 15359.8  45021.6    45000
read      444.0   485.9   148.8   200.1   216.8   398.4   481.5   526.6   561.5   608.3   667.6   747.4  1003.7  5967.1 20541.3  49889.0    50000
read      437.3   486.2   148.8   200.9   217.0   384.9   470.8   521.6   559.9   610.9   678.8   773.3   970.8  5817.0 26876.1  54976.2    55000
read      441.8   479.9   148.8   202.0   219.0   397.5   485.4   533.9   570.8   616.6   677.8   777.8  1008.4  5246.5 29200.7  59934.6    60000
read      439.9   487.1   148.8   201.0   218.1   391.2   479.1   524.4   557.7   601.5   662.3   757.0  1012.0  6419.7 14652.6  64956.6    65000
read      426.1   420.5   148.8   200.8   217.8   377.7   464.0   512.3   548.9   594.8   657.9   754.7   996.0  4396.4 15248.3  69870.6    70000
read      433.2   414.0   148.8   201.0   219.0   387.8   473.1   520.1   553.2   595.0   655.3   752.8  1007.3  5014.8 15546.1  74838.2    75000
read      400.7   279.5   148.8   199.0   215.5   361.6   440.5   486.6   520.2   561.4   617.5   707.0   891.6  3402.9 11061.7  80056.2    80000
read      416.2   418.7   148.8   199.7   216.8   367.0   445.4   492.2   529.0   575.5   636.5   729.5   929.5  5132.3 15331.4  85136.8    85000
read      430.9   407.4   148.8   204.9   225.4   383.6   460.0   505.8   543.1   591.1   655.1   758.5   969.4  5616.7 12552.8  89935.3    90000
read      426.1   416.5   160.7   208.7   229.0   380.2   452.1   496.5   532.7   579.4   640.2   742.5   962.8  4870.0 12895.7  94799.0    95000
read      682.6   453.3   160.7   396.6   428.1   574.9   754.1   860.3   918.3   975.5  1034.2  1097.7  1242.7  5419.7 18521.8  94484.8   100000
read      652.5   448.9   160.7   382.7   410.5   538.6   772.7   843.1   879.8   915.1   954.0  1007.4  1143.6  5052.5 16382.0  98797.9   105000
read      613.2   398.2   148.8   356.5   383.7   513.4   720.9   787.0   823.1   857.3   898.2   947.4  1083.5  4858.1 13861.1 104214.4   110000


//-----------------------------------------3d run----------------------------------------//


#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      456.1   464.3   160.7   202.2   220.0   420.3   505.2   555.9   593.3   633.7   679.8   745.7   971.1  4492.8 18469.0  29788.4    30000
read      451.4   529.4   148.8   204.8   221.0   395.2   488.8   542.0   586.4   638.4   699.9   782.1  1001.8  6381.3 28134.9  35101.4    35000
read      451.4   560.1   160.7   201.5   217.1   396.9   483.7   533.4   572.5   622.2   682.2   769.1  1063.7  6361.2 30607.0  39873.2    40000
read      448.7   418.3   160.7   205.6   223.8   420.2   502.1   545.8   581.4   623.9   676.3   747.8   938.5  4503.2 21322.6  44957.4    45000
read      444.7   538.0   148.8   200.6   216.6   398.9   482.3   528.1   563.6   610.4   670.5   753.3   982.0  7007.1 30711.9  50090.0    50000
read      448.3   517.9   148.8   200.0   217.6   408.6   493.9   537.6   571.4   613.9   671.6   759.6  1002.6  6553.1 22380.4  54893.2    55000
read      422.7   440.6   148.8   196.5   212.1   371.6   457.3   505.5   542.1   589.8   655.3   749.8   949.8  5469.4 13432.1  60003.0    60000
read      425.7   435.9   148.8   199.3   215.9   378.7   466.1   512.9   547.3   591.3   652.4   745.1   943.1  4743.2 18852.7  64888.2    65000
read      453.1   453.1   148.8   202.0   221.6   406.7   497.1   544.5   580.2   623.9   683.9   786.5  1107.6  5712.5 18943.4  70145.8    70000
read      437.4   500.4   148.8   199.7   217.4   383.8   469.6   517.4   551.8   596.0   658.9   761.3  1055.8  5976.9 22809.3  74955.8    75000
