


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      426.4   275.9   148.8   207.9   227.3   398.2   473.4   519.7   553.6   595.4   648.7   719.8   860.7  2423.7 11068.8  30043.6    30000
read      428.4   271.3   160.7   208.1   228.4   404.7   476.9   519.7   550.5   593.2   647.0   723.0   855.7  2588.4 12582.3  35245.6    35000
read      439.1   274.8   160.7   208.6   229.4   410.4   489.8   536.4   573.1   619.1   677.6   761.6   922.7  1999.6 11686.8  39844.2    40000
read      420.1   262.3   148.8   206.7   225.2   387.7   465.6   513.5   549.5   595.1   657.0   738.5   880.6  1584.6 10531.9  45238.8    45000
read      425.7   263.1   160.7   204.8   223.1   395.7   476.5   523.7   559.1   605.0   663.4   747.0   918.5  1423.2 12010.5  50064.6    50000
read      408.8   233.8   148.8   199.4   215.7   373.8   452.6   501.9   541.0   591.5   655.8   741.7   890.9  1254.5  8739.1  55100.6    55000
read      416.7   242.5   148.8   203.5   220.2   384.7   467.3   515.0   550.1   594.6   652.5   738.6   917.8  1459.6  9499.5  59826.0    60000
read      423.1   312.8   148.8   199.7   217.6   389.7   475.7   522.0   555.4   598.5   654.2   742.5   946.5  2586.8 12505.5  65150.4    65000
read      422.8   285.6   148.8   201.0   219.3   385.5   471.3   521.5   558.6   604.3   665.1   758.5   950.1  1762.8 11854.0  70135.0    70000
read      434.5   287.9   148.8   205.4   225.6   400.1   488.0   535.3   570.5   614.1   672.6   767.1   979.1  2100.8 12026.2  74874.6    75000
read      399.0   215.2   148.8   199.6   217.1   365.0   442.2   488.4   522.7   565.5   624.0   710.4   869.4  1204.1  7992.9  79764.2    80000
read      400.5   234.8   148.8   200.6   218.4   368.1   441.5   485.9   519.2   560.4   617.3   703.9   880.3  1831.7  8498.2  84764.6    85000
read      701.4   358.7   148.8   428.0   459.0   591.0   773.5   914.8   970.4  1019.7  1069.6  1134.3  1247.1  2569.3 15551.5  89083.0    90000
read      661.8   378.0   148.8   302.8   391.7   574.1   652.5   843.5   959.5  1026.2  1075.5  1139.8  1246.2  2091.7 14050.9  91452.1    95000
read      569.1   345.1   148.8   238.7   283.2   516.5   577.7   634.3   755.9   914.6   995.8  1069.1  1173.6  1458.2 13902.7  96448.6   100000
read      705.4   399.8   148.8   438.1   473.6   588.1   716.6   942.4   999.6  1045.9  1086.9  1146.8  1248.2  2389.6 16395.2  92080.0   105000
read      696.8   403.8   148.8   417.7   449.9   588.2   770.1   901.0   960.1  1015.4  1069.2  1136.2  1248.5  2707.6 17211.1  93759.6   110000

//-----------------------------------------2nd run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      434.0   267.6   160.7   209.9   230.2   407.2   485.0   532.8   569.3   613.1   664.4   735.7   869.5  2072.5 11357.5  30073.7    30000
read      436.4   249.9   148.8   209.0   230.1   410.3   487.5   534.0   570.0   614.2   669.4   745.7   893.1  3007.1  8642.4  34908.8    35000
read      435.6   258.6   148.8   207.5   228.5   412.9   489.8   533.1   566.1   607.1   658.5   735.8   899.6  2157.4 11050.1  40056.4    40000
read      434.2   332.2   160.7   206.5   225.9   406.4   482.9   527.3   560.9   605.3   661.9   740.1   900.7  3789.0 12879.7  45057.6    45000
read      432.9   255.3   148.8   204.9   223.8   400.2   483.9   532.8   571.0   619.3   681.8   773.6   947.2  1769.4 10004.0  49934.4    50000
read      418.0   292.3   148.8   200.2   217.6   386.7   469.0   515.5   548.6   593.7   651.3   732.9   890.2  2323.4 12689.6  55092.6    55000
read      403.6   231.9   148.8   197.9   213.9   369.0   447.9   495.3   532.3   579.8   640.6   728.9   878.3  1891.6  7962.0  59990.6    60000
read      398.7   228.1   148.8   196.3   212.1   365.3   445.4   493.0   528.3   571.6   628.7   714.8   866.1  1361.6  8080.6  64854.8    65000
read      413.4   463.3   148.8   199.5   216.5   373.4   457.1   506.9   544.1   590.2   651.7   742.3   917.1  2021.7 12615.7  70039.8    70000
read      404.3   254.3   148.8   201.5   219.1   374.6   453.9   498.8   531.1   569.7   620.6   692.8   853.7  1305.1 12332.3  74879.0    75000
read      414.7   273.0   148.8   203.4   222.0   380.7   460.3   505.3   539.2   582.2   639.8   731.5   914.7  1281.4 12631.7  79878.0    80000
read      421.7   245.7   148.8   209.5   230.4   388.5   464.6   509.7   544.6   587.5   643.4   735.0   933.7  1721.8 10709.4  84870.7    85000
read      411.3   242.9   148.8   207.6   228.1   376.0   447.5   492.3   528.6   575.4   636.3   726.5   887.3  1382.9  8053.1  89992.2    90000
read      686.7   350.5   160.7   411.6   445.3   580.5   783.0   895.9   946.7   989.9  1037.4  1093.3  1204.7  2617.2 14102.5  92497.5    95000
read      640.8   450.2   160.7   358.7   413.3   541.3   671.6   845.9   906.0   955.4  1000.6  1061.3  1163.3  2134.6 13566.7  96360.7   100000
read      694.8   372.5   148.8   423.2   456.1   584.5   718.3   902.7   970.9  1028.1  1076.4  1139.6  1242.9  3153.5 14030.4  93708.0   105000
